miss_type,experiment,player_id,player_name,draft_year,validation_year,pick_number,college,position_name,prospect_archetype,tier3,pred_tier3,p_star,p_rot_plus,p_out,resid_playmaking_index,resid_defensive_event_index,resid_scoring_efficiency_index,resid_rebounding_index,creator_to_wing_scaling_signal,big_offensive_scalability,defensive_big_offense_floor,defensive_big_signal_cap,low_ast_rim_protector_risk,creator_residual_star_signal,big_residual_star_signal_raw,big_residual_star_signal_cap,defensive_big_residual_fp_risk,big_residual_star_signal,wing_residual_star_signal,residual_star_signal,residual_star_signal_positive,max_gs_first_3,rotation_seasons_15_mpg,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,height_wo_shoes,weight,wingspan,wingspan_height_diff
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,201565,Derrick Rose,2008,2008,1,Memphis,PG,primary_creator,2,1.0,0.12403877670050734,0.46043080272756864,0.415530420571924,0.5191684188022553,-0.0954261526401179,0.24883834990947887,0.0,0.0,0.0,0.0,1.0,0.0,0.5191684188022553,0.0,1.0,0.0,0.0,0.0,0.5191684188022553,0.5191684188022553,81,14,True,True,2,2010-11,3.0,1.0,1,True,True,73.5,196.0,80.0,6.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,201933,Blake Griffin,2009,2009,1,Oklahoma,PF,dominant_big,2,1.0,0.1462647698865554,0.5674463732814399,0.28628885683200467,0.15422041841724735,-0.5717548464995811,0.8148212996095203,0.0,0.0,0.7030199999999999,0.0,1.0,0.0,0.0,0.09722658124397571,1.0,0.0,0.09722658124397571,0.0,0.09722658124397571,0.09722658124397571,82,15,True,True,2,2011-12,3.0,2.0,3,True,True,80.5,248.4,83.25,2.75
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,202322,John Wall,2010,2010,1,Kentucky,PG,primary_creator,2,1.0,0.15126234244735748,0.4065565269716749,0.44218113058096764,-0.0716475505516699,0.330590224104583,0.1900061987259476,-0.484262791505782,0.0,0.0,0.0,1.0,0.0,-0.0716475505516699,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66,11,True,False,1,,,,0,True,True,74.75,195.6,81.25,6.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,203076,Anthony Davis,2012,2012,1,Kentucky,PF,dominant_big,2,1.0,0.18102573284451687,0.6029364663820908,0.21603780077339235,0.8810339633103683,2.0270623831085515,1.5092463664284501,1.0952474613365355,0.0,0.49991666666666656,0.5000833333333334,0.6749458333333332,0.0,0.0,1.6335729920821078,0.6749458333333332,0.8169226271237275,1.102573284451685,0.0,1.102573284451685,1.102573284451685,68,15,True,True,2,2014-15,3.0,1.0,2,True,True,81.25,221.8,89.5,8.25
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,203952,Andrew Wiggins,2014,2014,1,Kansas,SF,offensive_wing,2,1.0,0.11668210309301891,0.5621277305984513,0.3211901663085298,-0.46341764096411014,0.07996491525019964,0.333322110496912,-0.25296828809346783,0.47771,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.04771503729638448,0.04771503729638448,0.04771503729638448,82,14,True,False,1,,,,0,True,True,80.0,200.0,83.0,3.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1627732,Ben Simmons,2016,2016,1,Louisiana State,PF,rim_runner,2,0.0,0.12651581720329924,0.40242927984486604,0.4710549029518347,0.8480509255498822,0.2936397759389637,0.625679089489583,0.6433827044494516,0.0,0.6026479999999997,0.0,1.0,0.0,0.0,0.496404087061309,1.0,0.0,0.496404087061309,0.0,0.496404087061309,0.496404087061309,81,7,True,True,2,2019-20,4.0,3.0,1,True,True,81.1,225.0,84.25,3.1500000000000057
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1629627,Zion Williamson,2019,2019,1,Duke,PF,rim_runner,2,1.0,0.18720716918700847,0.518323517947892,0.2944693128650995,0.29510373987042066,1.935993893165646,1.6869785582369394,0.6752500312200479,0.0,0.7457079999999999,0.2542920000000001,0.8347102,0.0,0.0,1.584238986805044,0.8347102,0.40285930043262835,1.3223804415238356,0.0,1.3223804415238356,1.3223804415238356,61,6,True,False,1,,,,0,True,True,79.0,285.0,83.0,4.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1630162,Anthony Edwards,2020,2020,1,Georgia,SG,secondary_creator,2,0.0,0.09835658741864933,0.43005724648352195,0.4715861660978288,-0.25438890184910745,0.08696946040717966,-0.34415902290158323,-0.28967465029844325,0.0,0.0,0.0,1.0,0.0,-0.25438890184910745,-0.0,1.0,-0.0,-0.0,-0.17339016711764066,-0.0,-0.0,79,6,True,True,2,2023-24,4,2,2,True,True,77.0,225.0,81.0,4.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,203506,Victor Oladipo,2013,2013,2,Indiana,SG,two_way_wing,2,0.0,0.10640288853527412,0.42011679567136617,0.4734803157933597,-0.6929823266669711,1.1044707923319081,0.6320549058058416,1.6111613208459603,0.0,0.0,0.0,1.0,0.0,-0.6929823266669711,0.0,1.0,0.0,0.0,0.8607180258507074,0.8607180258507074,0.8607180258507074,71,9,True,True,2,2017-18,5.0,3.0,1,True,True,75.25,213.2,81.25,6.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1626156,D'Angelo Russell,2015,2015,2,Ohio State,PG,secondary_creator,2,1.0,0.1642685161713508,0.46687750844949294,0.3688539753791563,0.4122975701640063,0.30426716040802465,0.578097662314751,0.5801388673307358,0.0,0.0,0.0,1.0,0.0,0.4122975701640063,0.0,1.0,0.0,0.0,0.4660852184355193,0.4660852184355193,0.4660852184355193,60,15,True,False,1,,,,0,True,True,75.25,193.4,81.75,6.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1627742,Brandon Ingram,2016,2016,2,Duke,SF,offensive_wing,2,1.0,0.08230352118983335,0.5863462906912302,0.33135018811893646,-0.0634838495956766,0.15654644237241555,-0.09961283139066773,-0.344745581973303,0.6185964999999998,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.05537073751061653,-0.0,-0.0,59,9,True,False,1,,,,0,True,True,81.0,190.0,87.0,6.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1629630,Ja Morant,2019,2019,2,Murray State,PG,primary_creator,2,0.0,0.07575333765304593,0.4507410802158086,0.47350558213114546,0.7125454851045742,-0.18333441101062795,0.5813504971742268,0.29665884723107605,0.0,0.0,0.0,1.0,0.0,0.7125454851045742,0.0,1.0,0.0,0.0,0.0,0.7125454851045742,0.7125454851045742,67,6,True,True,2,2021-22,3,2,1,True,True,75.0,175.0,79.0,4.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,201935,James Harden,2009,2009,3,Arizona State,SG,secondary_creator,2,1.0,0.11503773742193196,0.4869505640533585,0.3980116985247095,0.2113101231921923,-0.057379530641918086,0.79694042051015,0.0,0.0,0.0,0.0,1.0,0.0,0.2113101231921923,0.0,1.0,0.0,0.0,0.27997732377310036,0.27997732377310036,0.27997732377310036,5,22,True,True,2,2012-13,4.0,1.0,2,False,True,76.0,222.0,82.75,6.75
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,203078,Bradley Beal,2012,2012,3,Florida,SG,role_player,2,0.0,0.1312956651694267,0.3983094647177021,0.4703948701128712,-0.6016467359017272,0.28662812407863636,0.38891137406883625,1.1656347901298831,0.0,0.0,0.0,1.0,0.0,-0.6016467359017272,0.0,1.0,0.0,0.0,0.4094011087874193,0.4094011087874193,0.4094011087874193,73,13,True,False,1,,,,0,True,True,75.25,201.8,80.0,4.75
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,203954,Joel Embiid,2014,2014,3,Kansas,C,rim_runner,2,1.0,0.18775036410478096,0.4796812166194176,0.3325684192758015,-0.4183396559393506,1.741116006151871,1.3833067023199823,0.7286351855832426,0.0,0.5924666666666666,0.4075333333333334,0.7351033333333332,0.0,-0.0,1.39549612050539,0.7351033333333332,0.5687111856432967,1.025833849837247,0.0,1.025833849837247,1.025833849837247,31,9,True,True,2,2017-18,4.0,2.0,2,False,True,84.0,250.0,88.98,4.980000000000004
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1627759,Jaylen Brown,2016,2016,3,California,SG,secondary_creator,2,0.0,0.09662716317909265,0.4301358593069839,0.47323697751392346,-0.7302943012746801,-0.5081889174448967,-0.6033484052337758,-0.478756751900509,0.0,0.0,0.0,1.0,0.0,-0.7302943012746801,-0.0,1.0,-0.0,-0.0,-0.5578188434451051,-0.0,-0.0,70,10,True,False,1,,,,0,True,True,77.25,222.8,83.75,6.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1628369,Jayson Tatum,2017,2017,3,Duke,SF,secondary_creator,2,0.0,0.15506427684597474,0.37849102369692966,0.46644469945709555,-0.45066629796670643,0.24944219840001988,-0.10872939113688868,-0.3470217502315645,0.7138624999999998,0.0,0.0,1.0,0.0,-0.45066629796670643,-0.0,1.0,-0.0,-0.0,-0.06522149730088762,-0.0,-0.0,80,8,True,True,2,2019-20,3.0,1.0,2,True,True,80.0,205.0,83.0,3.0
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,201566,Russell Westbrook,2008,2008,4,California-Los Angeles,PG,two_way_wing,2,0.0,0.09598894798499291,0.38598269058034607,0.518028361434661,0.2214053570295319,-0.2892791305916073,-0.4986560703522558,0.0,0.0,0.0,0.0,1.0,0.0,0.2214053570295319,-0.0,1.0,-0.0,-0.0,-0.25363678462739886,0.2214053570295319,0.2214053570295319,82,20,True,True,2,2010-11,3.0,2.0,3,True,True,74.25,192.0,79.75,5.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1628991,Jaren Jackson Jr.,2018,2018,4,Michigan State,PF,stretch_big,2,1.0,0.11698498066635078,0.457753865383256,0.4252611539503932,-0.21252864272662483,1.4170141843813358,1.5998249340305082,-0.3014342598130991,0.0,0.714,0.28600000000000003,0.8140999999999999,0.0,-0.0,1.1464487954021176,0.8140999999999999,0.32788435548500566,0.9333239643368639,0.0,0.9333239643368639,0.9333239643368639,57,8,True,False,1,,,,0,True,True,81.75,236.0,89.25,7.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1630567,Scottie Barnes,2021,2021,4,Florida State,SF,secondary_creator,2,1.0,0.1381045967669997,0.4287932285242052,0.4331021747087951,0.5443654856717979,0.43756086384196674,-0.34718214940031644,-0.7496993528844449,0.2953263888888888,0.0,0.0,1.0,0.0,0.5443654856717979,-0.0,1.0,-0.0,-0.0,-0.06387077195513159,0.5443654856717979,0.5443654856717979,76,5,True,False,1,,,,0,True,True,79.0,225.4,86.75,7.75
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,202326,DeMarcus Cousins,2010,2010,5,Kentucky,C,dominant_big,2,1.0,0.17099719964120375,0.49787713450504323,0.331125665853753,0.428945943771542,0.8428112454752069,0.7463418263043251,1.6726621739819378,0.0,0.48862499999999975,0.5113750000000002,0.6676062499999998,0.0,0.0,0.9701936635082005,0.6676062499999998,0.49613278467650623,0.6477073534684714,0.0,0.6477073534684714,0.6477073534684714,74,12,True,True,2,2014-15,5.0,2.0,1,True,True,81.5,291.8,89.75,8.25
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1628368,De'Aaron Fox,2017,2017,5,Kentucky,PG,primary_creator,2,1.0,0.10674847316716593,0.45990067499417886,0.4333508518386552,0.7258138263906546,0.004056140296851474,0.04955668050758169,-0.13622697159330913,0.0,0.0,0.0,1.0,0.0,0.7258138263906546,-0.0,1.0,-0.0,-0.0,0.0,0.7258138263906546,0.7258138263906546,81,10,True,False,1,,,,0,True,True,74.0,169.6,78.5,4.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1629027,Trae Young,2018,2018,5,Oklahoma,PG,secondary_creator,2,0.0,0.08245457485688655,0.3654830357150031,0.5520623894281103,0.4809532659378755,0.35321963485366864,0.9500643851709575,-0.14207918121751054,0.0,0.0,0.0,1.0,0.0,0.4809532659378755,0.0,1.0,0.0,0.0,0.47582889735890466,0.4809532659378755,0.4809532659378755,81,7,True,True,2,2021-22,4.0,3.0,1,True,True,72.5,177.8,75.0,2.5
TOP5_STAR_FALSE_NEGATIVE,pre2014_full_shot_profile,1629636,Darius Garland,2019,2019,5,Vanderbilt,PG,secondary_creator,2,0.0,0.12185094309521607,0.38963365099463054,0.4885154059101534,-0.46236621754908364,-0.5657673812583545,0.10730041964134442,0.0225933946279679,0.0,0.0,0.0,1.0,0.0,-0.46236621754908364,-0.0,1.0,-0.0,-0.0,-0.2021813793952683,-0.0,-0.0,68,8,True,False,1,,,,0,True,True,74.0,175.0,77.0,3.0
