experiment,position_archetype,n,actual_stars,actual_top5_stars,predicted_stars,star_false_negatives,top5_star_false_negatives,star_false_positives,out_predicted_star,out_p_star_ge_20,star_precision,star_recall,mean_p_star,actual_star_rate,mean_residual_star_signal
base_extra_trees,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.35627644268516945,0.0,
base_extra_trees,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1267919958710894,0.0,
base_extra_trees,PF / dominant_big,1,0,0,1,0,0,1,0,0,0.0,0.0,0.32154411085504625,0.0,
base_extra_trees,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.07020154624582838,0.0,
base_extra_trees,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.1606815015433781,0.0,
base_extra_trees,PF / stretch_big,4,1,1,1,0,0,0,0,1,1.0,1.0,0.1792581057462976,0.25,
base_extra_trees,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.4371212751643047,1.0,
base_extra_trees,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.1790126086355971,0.25,
base_extra_trees,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.12551092921752235,0.0,
base_extra_trees,SF / rim_runner,1,0,0,0,0,0,0,0,1,0.0,0.0,0.2626752731302782,0.0,
base_extra_trees,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.17652056783203904,0.0,
base_extra_trees,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.19447222277508466,0.0,
base_extra_trees,SG / offensive_wing,5,0,0,1,0,0,1,0,0,0.0,0.0,0.18847392570535573,0.0,
base_extra_trees,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.17556687251086872,0.0,
base_extra_trees,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.1574653395971478,0.0,
base_hist_gradient_boosting,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.27986303433385235,0.0,
base_hist_gradient_boosting,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.00022880930370655406,0.0,
base_hist_gradient_boosting,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.005416231037395591,0.0,
base_hist_gradient_boosting,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.00012288897778293703,0.0,
base_hist_gradient_boosting,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0011493897380069349,0.0,
base_hist_gradient_boosting,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.0008707513275754454,0.25,
base_hist_gradient_boosting,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.6579269583472088,1.0,
base_hist_gradient_boosting,PG / secondary_creator,8,2,1,1,2,1,1,0,0,0.0,0.0,0.10572392131388166,0.25,
base_hist_gradient_boosting,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.006520883283500512,0.0,
base_hist_gradient_boosting,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.023772036731224497,0.0,
base_hist_gradient_boosting,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.013901280521591836,0.0,
base_hist_gradient_boosting,SF / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.08263899961010383,0.0,
base_hist_gradient_boosting,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.07018775779942706,0.0,
base_hist_gradient_boosting,SG / secondary_creator,7,0,0,1,0,0,1,0,0,0.0,0.0,0.07680957578936062,0.0,
base_hist_gradient_boosting,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.01585980446892075,0.0,
base_logistic,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.30926556365462493,0.0,
base_logistic,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,9.058609041647856e-05,0.0,
base_logistic,PF / dominant_big,1,0,0,1,0,0,1,0,0,0.0,0.0,0.5725633730360529,0.0,
base_logistic,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,1.6207659684800604e-06,0.0,
base_logistic,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.00010946741185531374,0.0,
base_logistic,PF / stretch_big,4,1,1,1,1,1,1,1,1,0.0,0.0,0.17141964858166994,0.25,
base_logistic,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.9953836853073346,1.0,
base_logistic,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.2569831124323253,0.25,
base_logistic,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0018407575049858155,0.0,
base_logistic,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1283717335732863,0.0,
base_logistic,SF / secondary_creator,4,0,0,1,0,0,1,0,0,0.0,0.0,0.1630471641534974,0.0,
base_logistic,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.1088265926832623,0.0,
base_logistic,SG / offensive_wing,5,0,0,1,0,0,1,0,0,0.0,0.0,0.14357590228106085,0.0,
base_logistic,SG / secondary_creator,7,0,0,1,0,0,1,0,0,0.0,0.0,0.17022350665885733,0.0,
base_logistic,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.04796332111345305,0.0,
base_ordinal,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.3111941486267717,0.0,
base_ordinal,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.00011173909883016262,0.0,
base_ordinal,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.18309524887643883,0.0,
base_ordinal,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,3.1525551647667386e-06,0.0,
base_ordinal,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0004594765532181937,0.0,
base_ordinal,PF / stretch_big,4,1,1,1,1,1,1,1,1,0.0,0.0,0.1623007819315195,0.25,
base_ordinal,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.9986540622118435,1.0,
base_ordinal,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.2543671321024005,0.25,
base_ordinal,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.006157327289396763,0.0,
base_ordinal,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.12365681036624905,0.0,
base_ordinal,SF / secondary_creator,4,0,0,1,0,0,1,0,0,0.0,0.0,0.1808198209246738,0.0,
base_ordinal,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.25952239766001656,0.0,
base_ordinal,SG / offensive_wing,5,0,0,1,0,0,1,0,0,0.0,0.0,0.11661957874210782,0.0,
base_ordinal,SG / secondary_creator,7,0,0,1,0,0,1,0,0,0.0,0.0,0.15544336726317923,0.0,
base_ordinal,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.039663318975303175,0.0,
base_random_forest,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.31783059794948143,0.0,
base_random_forest,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.09368964956445464,0.0,
base_random_forest,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.2409363862330774,0.0,
base_random_forest,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.055161635540447694,0.0,
base_random_forest,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.12918702834777543,0.0,
base_random_forest,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.1288176876052746,0.25,
base_random_forest,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.41355465104729977,1.0,
base_random_forest,PG / secondary_creator,8,2,1,1,2,1,1,0,0,0.0,0.0,0.16609766931339115,0.25,
base_random_forest,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.11705600593121197,0.0,
base_random_forest,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.16356194601760274,0.0,
base_random_forest,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.15788360929606926,0.0,
base_random_forest,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.16240091796013842,0.0,
base_random_forest,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.1406129429491644,0.0,
base_random_forest,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.15558293763683534,0.0,
base_random_forest,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.11954197558474829,0.0,
base_two_stage,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.3387701838819522,0.0,
base_two_stage,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.00028393080554878214,0.0,
base_two_stage,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.29629202889553685,0.0,
base_two_stage,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,9.408145396864875e-06,0.0,
base_two_stage,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.002487490342151313,0.0,
base_two_stage,PF / stretch_big,4,1,1,1,1,1,1,1,1,0.0,0.0,0.14059283250997429,0.25,
base_two_stage,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.9944357857705902,1.0,
base_two_stage,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.2626343631888286,0.25,
base_two_stage,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.021388884825935445,0.0,
base_two_stage,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1586239388341362,0.0,
base_two_stage,SF / secondary_creator,4,0,0,1,0,0,1,0,0,0.0,0.0,0.20256467981570603,0.0,
base_two_stage,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.223798355975007,0.0,
base_two_stage,SG / offensive_wing,5,0,0,1,0,0,1,0,0,0.0,0.0,0.1377892712334334,0.0,
base_two_stage,SG / secondary_creator,7,0,0,1,0,0,1,0,0,0.0,0.0,0.13974081575090472,0.0,
base_two_stage,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.05150849698983242,0.0,
clean_adjusted_extra_trees,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.361207220581157,0.0,
clean_adjusted_extra_trees,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.11136363926484902,0.0,
clean_adjusted_extra_trees,PF / dominant_big,1,0,0,1,0,0,1,0,0,0.0,0.0,0.31233343672428115,0.0,
clean_adjusted_extra_trees,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0727623032055825,0.0,
clean_adjusted_extra_trees,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.1639464891603142,0.0,
clean_adjusted_extra_trees,PF / stretch_big,4,1,1,1,0,0,0,0,1,1.0,1.0,0.20441047270953558,0.25,
clean_adjusted_extra_trees,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.44622413471940897,1.0,
clean_adjusted_extra_trees,PG / secondary_creator,8,2,1,1,2,1,1,0,0,0.0,0.0,0.17039414080184134,0.25,
clean_adjusted_extra_trees,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.11680927834295063,0.0,
clean_adjusted_extra_trees,SF / rim_runner,1,0,0,0,0,0,0,0,1,0.0,0.0,0.23813200903814066,0.0,
clean_adjusted_extra_trees,SF / secondary_creator,4,0,0,1,0,0,1,0,0,0.0,0.0,0.18267906355594513,0.0,
clean_adjusted_extra_trees,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.19301276421660252,0.0,
clean_adjusted_extra_trees,SG / offensive_wing,5,0,0,1,0,0,1,0,0,0.0,0.0,0.18800289830731876,0.0,
clean_adjusted_extra_trees,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.17374228399143368,0.0,
clean_adjusted_extra_trees,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.15473533026226868,0.0,
clean_adjusted_internal_two_stage,C / rim_runner,3,0,0,0,0,0,0,0,0,0.0,0.0,0.2050288810649513,0.0,
clean_adjusted_internal_two_stage,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.05054748462925282,0.0,
clean_adjusted_internal_two_stage,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.16741210760585806,0.0,
clean_adjusted_internal_two_stage,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.017235992589320213,0.0,
clean_adjusted_internal_two_stage,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0686126141319617,0.0,
clean_adjusted_internal_two_stage,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.06918032995307141,0.25,
clean_adjusted_internal_two_stage,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.32409557655216154,1.0,
clean_adjusted_internal_two_stage,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.17873577586843536,0.25,
clean_adjusted_internal_two_stage,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.08086685231207454,0.0,
clean_adjusted_internal_two_stage,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.11323663752901494,0.0,
clean_adjusted_internal_two_stage,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.08728733702942645,0.0,
clean_adjusted_internal_two_stage,SF / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0923349531169067,0.0,
clean_adjusted_internal_two_stage,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.07056906365987448,0.0,
clean_adjusted_internal_two_stage,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.10600350879765619,0.0,
clean_adjusted_internal_two_stage,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.08666804203256757,0.0,
clean_adjusted_logistic_sigmoid,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.22279238374569718,0.0,
clean_adjusted_logistic_sigmoid,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.025574626804240344,0.0,
clean_adjusted_logistic_sigmoid,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.24844867033947846,0.0,
clean_adjusted_logistic_sigmoid,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.01635703819985318,0.0,
clean_adjusted_logistic_sigmoid,PF / rim_runner,5,0,0,0,0,0,0,0,0,0.0,0.0,0.04748661928813669,0.0,
clean_adjusted_logistic_sigmoid,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.07717614544659779,0.25,
clean_adjusted_logistic_sigmoid,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.48821269304153686,1.0,
clean_adjusted_logistic_sigmoid,PG / secondary_creator,8,2,1,2,1,0,1,0,0,0.5,0.5,0.18676180431791534,0.25,
clean_adjusted_logistic_sigmoid,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.06158591393769879,0.0,
clean_adjusted_logistic_sigmoid,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1373353614062318,0.0,
clean_adjusted_logistic_sigmoid,SF / secondary_creator,4,0,0,1,0,0,1,0,0,0.0,0.0,0.13086301516693544,0.0,
clean_adjusted_logistic_sigmoid,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.1298494587070538,0.0,
clean_adjusted_logistic_sigmoid,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.09698823769710681,0.0,
clean_adjusted_logistic_sigmoid,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.11618223337079152,0.0,
clean_adjusted_logistic_sigmoid,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.10570511091340402,0.0,
clean_adjusted_random_forest,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.336496024890738,0.0,
clean_adjusted_random_forest,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.11437411043398989,0.0,
clean_adjusted_random_forest,PF / dominant_big,1,0,0,1,0,0,1,0,0,0.0,0.0,0.3000481003931371,0.0,
clean_adjusted_random_forest,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.05702985685609635,0.0,
clean_adjusted_random_forest,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.13488118131686652,0.0,
clean_adjusted_random_forest,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.13109777641246778,0.25,
clean_adjusted_random_forest,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.39601040294387074,1.0,
clean_adjusted_random_forest,PG / secondary_creator,8,2,1,1,2,1,1,0,0,0.0,0.0,0.17543676642677897,0.25,
clean_adjusted_random_forest,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.13669289335588763,0.0,
clean_adjusted_random_forest,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.18344115061324656,0.0,
clean_adjusted_random_forest,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.1462979204311747,0.0,
clean_adjusted_random_forest,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.1687979119167969,0.0,
clean_adjusted_random_forest,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.13878966538809784,0.0,
clean_adjusted_random_forest,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.16278273829819997,0.0,
clean_adjusted_random_forest,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.12706611165855553,0.0,
clean_adjusted_random_forest_sigmoid,C / rim_runner,3,0,0,2,0,0,2,0,0,0.0,0.0,0.37116780325244214,0.0,
clean_adjusted_random_forest_sigmoid,C / stretch_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.04350712942763644,0.0,
clean_adjusted_random_forest_sigmoid,PF / dominant_big,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1733126587627103,0.0,
clean_adjusted_random_forest_sigmoid,PF / playmaking_forward,2,0,0,0,0,0,0,0,0,0.0,0.0,0.025756633307232005,0.0,
clean_adjusted_random_forest_sigmoid,PF / rim_runner,5,0,0,1,0,0,1,0,0,0.0,0.0,0.09978740805493683,0.0,
clean_adjusted_random_forest_sigmoid,PF / stretch_big,4,1,1,0,1,1,0,0,0,0.0,0.0,0.09662506000391614,0.25,
clean_adjusted_random_forest_sigmoid,PG / primary_creator,1,1,0,1,0,0,0,0,0,1.0,1.0,0.4030429504655242,1.0,
clean_adjusted_random_forest_sigmoid,PG / secondary_creator,8,2,1,1,2,1,1,0,0,0.0,0.0,0.11974640249491118,0.25,
clean_adjusted_random_forest_sigmoid,SF / offensive_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.06455171050076296,0.0,
clean_adjusted_random_forest_sigmoid,SF / rim_runner,1,0,0,0,0,0,0,0,0,0.0,0.0,0.09961962352013494,0.0,
clean_adjusted_random_forest_sigmoid,SF / secondary_creator,4,0,0,0,0,0,0,0,0,0.0,0.0,0.10895036635419629,0.0,
clean_adjusted_random_forest_sigmoid,SF / two_way_wing,3,0,0,1,0,0,1,0,0,0.0,0.0,0.11838430957249553,0.0,
clean_adjusted_random_forest_sigmoid,SG / offensive_wing,5,0,0,0,0,0,0,0,0,0.0,0.0,0.08216775559146579,0.0,
clean_adjusted_random_forest_sigmoid,SG / secondary_creator,7,0,0,0,0,0,0,0,0,0.0,0.0,0.1066461414670313,0.0,
clean_adjusted_random_forest_sigmoid,SG / two_way_wing,3,0,0,0,0,0,0,0,0,0.0,0.0,0.07451307120091605,0.0,
clean_adjusted_two_stage_risk_sigmoid,C / rim_runner,3,0,0,1,0,0,1,0,0,0.0,0.0,0.2295666597115161,0.0,
