experiment,prospect_archetype,n,actual_stars,predicted_stars,star_precision,star_recall,mean_p_star,actual_star_rate
base_extra_trees,dominant_big,1,0,1,0.0,0.0,0.32154411085504625,0.0
base_extra_trees,offensive_wing,8,0,1,0.0,0.0,0.1648628020224182,0.0
base_extra_trees,playmaking_forward,2,0,0,0.0,0.0,0.07020154624582838,0.0
base_extra_trees,primary_creator,1,1,1,1.0,1.0,0.4371212751643047,1.0
base_extra_trees,rim_runner,9,0,3,0.0,0.0,0.23721245654474193,0.0
base_extra_trees,secondary_creator,19,2,2,0.5,0.5,0.17721848673626386,0.10526315789473684
base_extra_trees,stretch_big,5,1,1,1.0,1.0,0.16876488377125598,0.2
base_extra_trees,two_way_wing,6,0,1,0.0,0.0,0.17596878118611622,0.0
base_hist_gradient_boosting,dominant_big,1,0,0,0.0,0.0,0.005416231037395591,0.0
base_hist_gradient_boosting,offensive_wing,8,0,0,0.0,0.0,0.04631267985595461,0.0
base_hist_gradient_boosting,playmaking_forward,2,0,0,0.0,0.0,0.00012288897778293703,0.0
base_hist_gradient_boosting,primary_creator,1,1,1,1.0,1.0,0.6579269583472088,1.0
base_hist_gradient_boosting,rim_runner,9,0,1,0.0,0.0,0.0965675653803129,0.0
base_hist_gradient_boosting,secondary_creator,19,2,2,0.0,0.0,0.07574018542752343,0.10526315789473684
base_hist_gradient_boosting,stretch_big,5,1,0,0.0,0.0,0.0007423629228016672,0.2
base_hist_gradient_boosting,two_way_wing,6,0,0,0.0,0.0,0.04924940203951229,0.0
base_logistic,dominant_big,1,0,1,0.0,0.0,0.5725633730360529,0.0
base_logistic,offensive_wing,8,0,1,0.0,0.0,0.09042522299003271,0.0
base_logistic,playmaking_forward,2,0,0,0.0,0.0,1.6207659684800604e-06,0.0
base_logistic,primary_creator,1,1,1,1.0,1.0,0.9953836853073346,1.0
base_logistic,rim_runner,9,0,1,0.0,0.0,0.11741286239960418,0.0
base_logistic,secondary_creator,19,2,4,0.25,0.5,0.20524305803603127,0.10526315789473684
base_logistic,stretch_big,5,1,1,0.0,0.0,0.13715383608341927,0.2
base_logistic,two_way_wing,6,0,1,0.0,0.0,0.07839495689835767,0.0
base_ordinal,dominant_big,1,0,0,0.0,0.0,0.18309524887643883,0.0
base_ordinal,offensive_wing,8,0,1,0.0,0.0,0.07519623444734116,0.0
base_ordinal,playmaking_forward,2,0,0,0.0,0.0,3.1525551647667386e-06,0.0
base_ordinal,primary_creator,1,1,1,1.0,1.0,0.9986540622118435,1.0
base_ordinal,rim_runner,9,0,1,0.0,0.0,0.11772629322362833,0.0
base_ordinal,secondary_creator,19,2,4,0.25,0.5,0.202437890071587,0.10526315789473684
base_ordinal,stretch_big,5,1,1,0.0,0.0,0.12986297336498162,0.2
base_ordinal,two_way_wing,6,0,1,0.0,0.0,0.14959285831765987,0.0
base_random_forest,dominant_big,1,0,0,0.0,0.0,0.2409363862330774,0.0
base_random_forest,offensive_wing,8,0,0,0.0,0.0,0.13177909156743225,0.0
base_random_forest,playmaking_forward,2,0,0,0.0,0.0,0.055161635540447694,0.0
base_random_forest,primary_creator,1,1,1,1.0,1.0,0.41355465104729977,1.0
base_random_forest,rim_runner,9,0,3,0.0,0.0,0.1958876535116582,0.0
base_random_forest,secondary_creator,19,2,1,0.0,0.0,0.16049454500785545,0.10526315789473684
base_random_forest,stretch_big,5,1,0,0.0,0.0,0.12179207999711061,0.2
base_random_forest,two_way_wing,6,0,1,0.0,0.0,0.14097144677244336,0.0
base_two_stage,dominant_big,1,0,0,0.0,0.0,0.29629202889553685,0.0
base_two_stage,offensive_wing,8,0,1,0.0,0.0,0.09413912633062169,0.0
base_two_stage,playmaking_forward,2,0,0,0.0,0.0,9.408145396864875e-06,0.0
base_two_stage,primary_creator,1,1,1,1.0,1.0,0.9944357857705902,1.0
base_two_stage,rim_runner,9,0,1,0.0,0.0,0.13193021579897216,0.0
base_two_stage,secondary_creator,19,2,4,0.25,0.5,0.20471154394893612,0.10526315789473684
base_two_stage,stretch_big,5,1,1,0.0,0.0,0.11253105216908918,0.2
base_two_stage,two_way_wing,6,0,1,0.0,0.0,0.1376534264824197,0.0
clean_adjusted_extra_trees,dominant_big,1,0,1,0.0,0.0,0.31233343672428115,0.0
clean_adjusted_extra_trees,offensive_wing,8,0,1,0.0,0.0,0.1613052908206807,0.0
clean_adjusted_extra_trees,playmaking_forward,2,0,0,0.0,0.0,0.0727623032055825,0.0
clean_adjusted_extra_trees,primary_creator,1,1,1,1.0,1.0,0.44622413471940897,1.0
clean_adjusted_extra_trees,rim_runner,9,0,3,0.0,0.0,0.23794290184257585,0.0
clean_adjusted_extra_trees,secondary_creator,19,2,2,0.0,0.0,0.17421396676729192,0.10526315789473684
clean_adjusted_extra_trees,stretch_big,5,1,1,1.0,1.0,0.18580110602059827,0.2
clean_adjusted_extra_trees,two_way_wing,6,0,1,0.0,0.0,0.1738740472394356,0.0
clean_adjusted_internal_two_stage,dominant_big,1,0,0,0.0,0.0,0.16741210760585806,0.0
clean_adjusted_internal_two_stage,offensive_wing,8,0,0,0.0,0.0,0.0744307344044495,0.0
clean_adjusted_internal_two_stage,playmaking_forward,2,0,0,0.0,0.0,0.017235992589320213,0.0
clean_adjusted_internal_two_stage,primary_creator,1,1,1,1.0,1.0,0.32409557655216154,1.0
clean_adjusted_internal_two_stage,rim_runner,9,0,0,0.0,0.0,0.11904292793151966,0.0
clean_adjusted_internal_two_stage,secondary_creator,19,2,2,0.5,0.5,0.13268737456046226,0.10526315789473684
clean_adjusted_internal_two_stage,stretch_big,5,1,0,0.0,0.0,0.0654537608883077,0.2
clean_adjusted_internal_two_stage,two_way_wing,6,0,0,0.0,0.0,0.08950149757473715,0.0
clean_adjusted_logistic_sigmoid,dominant_big,1,0,0,0.0,0.0,0.24844867033947846,0.0
clean_adjusted_logistic_sigmoid,offensive_wing,8,0,0,0.0,0.0,0.0837123662873288,0.0
clean_adjusted_logistic_sigmoid,playmaking_forward,2,0,0,0.0,0.0,0.01635703819985318,0.0
clean_adjusted_logistic_sigmoid,primary_creator,1,1,1,1.0,1.0,0.48821269304153686,1.0
clean_adjusted_logistic_sigmoid,rim_runner,9,0,1,0.0,0.0,0.11590506767600076,0.0
clean_adjusted_logistic_sigmoid,secondary_creator,19,2,3,0.3333333333333333,0.5,0.14899063835824242,0.10526315789473684
clean_adjusted_logistic_sigmoid,stretch_big,5,1,0,0.0,0.0,0.0668558417181263,0.2
clean_adjusted_logistic_sigmoid,two_way_wing,6,0,1,0.0,0.0,0.11777728481022891,0.0
clean_adjusted_random_forest,dominant_big,1,0,1,0.0,0.0,0.3000481003931371,0.0
clean_adjusted_random_forest,offensive_wing,8,0,0,0.0,0.0,0.13800337587601902,0.0
clean_adjusted_random_forest,playmaking_forward,2,0,0,0.0,0.0,0.05702985685609635,0.0
clean_adjusted_random_forest,primary_creator,1,1,1,1.0,1.0,0.39601040294387074,1.0
clean_adjusted_random_forest,rim_runner,9,0,3,0.0,0.0,0.2074816813188659,0.0
clean_adjusted_random_forest,secondary_creator,19,2,1,0.0,0.0,0.16464026216980687,0.10526315789473684
clean_adjusted_random_forest,stretch_big,5,1,0,0.0,0.0,0.1277530432167722,0.2
clean_adjusted_random_forest,two_way_wing,6,0,1,0.0,0.0,0.1479320117876762,0.0
clean_adjusted_random_forest_sigmoid,dominant_big,1,0,0,0.0,0.0,0.1733126587627103,0.0
clean_adjusted_random_forest_sigmoid,offensive_wing,8,0,0,0.0,0.0,0.07556173868245221,0.0
clean_adjusted_random_forest_sigmoid,playmaking_forward,2,0,0,0.0,0.0,0.025756633307232005,0.0
clean_adjusted_random_forest_sigmoid,primary_creator,1,1,1,1.0,1.0,0.4030429504655242,1.0
clean_adjusted_random_forest_sigmoid,rim_runner,9,0,3,0.0,0.0,0.19022889706134946,0.0
clean_adjusted_random_forest_sigmoid,secondary_creator,19,2,1,0.0,0.0,0.1126471408234365,0.10526315789473684
clean_adjusted_random_forest_sigmoid,stretch_big,5,1,0,0.0,0.0,0.08600147388866021,0.2
clean_adjusted_random_forest_sigmoid,two_way_wing,6,0,1,0.0,0.0,0.09644869038670578,0.0
clean_adjusted_two_stage_risk_sigmoid,dominant_big,1,0,0,0.0,0.0,0.21270937787423652,0.0
clean_adjusted_two_stage_risk_sigmoid,offensive_wing,8,0,0,0.0,0.0,0.10794997086418277,0.0
clean_adjusted_two_stage_risk_sigmoid,playmaking_forward,2,0,0,0.0,0.0,0.06888074253557291,0.0
clean_adjusted_two_stage_risk_sigmoid,primary_creator,1,1,1,1.0,1.0,0.46216787395878284,1.0
clean_adjusted_two_stage_risk_sigmoid,rim_runner,9,0,1,0.0,0.0,0.13960682867529964,0.0
clean_adjusted_two_stage_risk_sigmoid,secondary_creator,19,2,2,0.5,0.5,0.1520670718934633,0.10526315789473684
clean_adjusted_two_stage_risk_sigmoid,stretch_big,5,1,0,0.0,0.0,0.09231535980467906,0.2
clean_adjusted_two_stage_risk_sigmoid,two_way_wing,6,0,1,0.0,0.0,0.15026151382182326,0.0
clean_adjusted_two_stage_sigmoid,dominant_big,1,0,0,0.0,0.0,0.214958323496992,0.0
clean_adjusted_two_stage_sigmoid,offensive_wing,8,0,0,0.0,0.0,0.10764892839161232,0.0
clean_adjusted_two_stage_sigmoid,playmaking_forward,2,0,0,0.0,0.0,0.06886430866776794,0.0
clean_adjusted_two_stage_sigmoid,primary_creator,1,1,1,1.0,1.0,0.45723847125997424,1.0
clean_adjusted_two_stage_sigmoid,rim_runner,9,0,1,0.0,0.0,0.14025291062389852,0.0
clean_adjusted_two_stage_sigmoid,secondary_creator,19,2,2,0.5,0.5,0.15218095575713497,0.10526315789473684
clean_adjusted_two_stage_sigmoid,stretch_big,5,1,0,0.0,0.0,0.09345621012659824,0.2
clean_adjusted_two_stage_sigmoid,two_way_wing,6,0,1,0.0,0.0,0.14944398065216521,0.0
player_residual_random_forest,dominant_big,1,0,0,0.0,0.0,0.2597903000655648,0.0
player_residual_random_forest,offensive_wing,8,0,0,0.0,0.0,0.13561742063655186,0.0
player_residual_random_forest,playmaking_forward,2,0,0,0.0,0.0,0.05132708331415703,0.0
player_residual_random_forest,primary_creator,1,1,1,1.0,1.0,0.3931731620931289,1.0
player_residual_random_forest,rim_runner,9,0,3,0.0,0.0,0.2066510754606998,0.0
player_residual_random_forest,secondary_creator,19,2,2,0.0,0.0,0.16791475847477016,0.10526315789473684
player_residual_random_forest,stretch_big,5,1,0,0.0,0.0,0.11972997759610016,0.2
player_residual_random_forest,two_way_wing,6,0,1,0.0,0.0,0.14135640464040614,0.0
raw_logistic,dominant_big,1,0,1,0.0,0.0,0.9192399529496527,0.0
raw_logistic,offensive_wing,8,0,1,0.0,0.0,0.1052556736948366,0.0
raw_logistic,playmaking_forward,2,0,0,0.0,0.0,0.007281262607732152,0.0
raw_logistic,primary_creator,1,1,1,1.0,1.0,0.8928497842488975,1.0
raw_logistic,rim_runner,9,0,4,0.0,0.0,0.30359512406560074,0.0
raw_logistic,secondary_creator,19,2,6,0.16666666666666666,0.5,0.28251629066685174,0.10526315789473684
raw_logistic,stretch_big,5,1,1,0.0,0.0,0.10287588721270839,0.2
raw_logistic,two_way_wing,6,0,1,0.0,0.0,0.09645291147775005,0.0
season_residual_random_forest,dominant_big,1,0,0,0.0,0.0,0.2710396285958637,0.0
season_residual_random_forest,offensive_wing,8,0,0,0.0,0.0,0.13326146259073687,0.0
season_residual_random_forest,playmaking_forward,2,0,0,0.0,0.0,0.05732868988810956,0.0
season_residual_random_forest,primary_creator,1,1,1,1.0,1.0,0.40910993229734927,1.0
season_residual_random_forest,rim_runner,9,0,3,0.0,0.0,0.20160333815929174,0.0
season_residual_random_forest,secondary_creator,19,2,3,0.3333333333333333,0.5,0.16208501595047436,0.10526315789473684
season_residual_random_forest,stretch_big,5,1,0,0.0,0.0,0.1260111106155401,0.2
season_residual_random_forest,two_way_wing,6,0,1,0.0,0.0,0.14302677451134274,0.0
segment_residual_internal_two_stage,dominant_big,1,0,0,0.0,0.0,0.2536681930952172,0.0
segment_residual_internal_two_stage,offensive_wing,8,0,0,0.0,0.0,0.09563590537404378,0.0
segment_residual_internal_two_stage,playmaking_forward,2,0,0,0.0,0.0,0.02894166388787035,0.0
segment_residual_internal_two_stage,primary_creator,1,1,1,1.0,1.0,0.37799398903145653,1.0
segment_residual_internal_two_stage,rim_runner,9,0,1,0.0,0.0,0.14624686585199462,0.0
segment_residual_internal_two_stage,secondary_creator,19,2,2,0.5,0.5,0.14840812468381057,0.10526315789473684
segment_residual_internal_two_stage,stretch_big,5,1,0,0.0,0.0,0.08142961235682353,0.2
segment_residual_internal_two_stage,two_way_wing,6,0,0,0.0,0.0,0.10798762110898559,0.0
segment_residual_internal_two_stage_boost,dominant_big,1,0,0,0.0,0.0,0.2536681930952172,0.0
segment_residual_internal_two_stage_boost,offensive_wing,8,0,0,0.0,0.0,0.0960385625271865,0.0
segment_residual_internal_two_stage_boost,playmaking_forward,2,0,0,0.0,0.0,0.02894166388787035,0.0
segment_residual_internal_two_stage_boost,primary_creator,1,1,1,1.0,1.0,0.37799398903145653,1.0
segment_residual_internal_two_stage_boost,rim_runner,9,0,1,0.0,0.0,0.14721292106156864,0.0
segment_residual_internal_two_stage_boost,secondary_creator,19,2,2,0.5,0.5,0.14921655930791622,0.10526315789473684
segment_residual_internal_two_stage_boost,stretch_big,5,1,0,0.0,0.0,0.08423385104107585,0.2
segment_residual_internal_two_stage_boost,two_way_wing,6,0,0,0.0,0.0,0.10798762110898559,0.0
segment_residual_internal_two_stage_failure_cap,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap,offensive_wing,8,0,0,0.0,0.0,0.09563590537404378,0.0
segment_residual_internal_two_stage_failure_cap,playmaking_forward,2,0,0,0.0,0.0,0.02894166388787035,0.0
segment_residual_internal_two_stage_failure_cap,primary_creator,1,1,1,1.0,1.0,0.37799398903145653,1.0
segment_residual_internal_two_stage_failure_cap,rim_runner,9,0,0,0.0,0.0,0.12602228542166183,0.0
segment_residual_internal_two_stage_failure_cap,secondary_creator,19,2,2,0.5,0.5,0.1479029204916784,0.10526315789473684
segment_residual_internal_two_stage_failure_cap,stretch_big,5,1,0,0.0,0.0,0.08142961235682353,0.2
segment_residual_internal_two_stage_failure_cap,two_way_wing,6,0,0,0.0,0.0,0.10798762110898559,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift,offensive_wing,8,0,0,0.0,0.0,0.09563590537404378,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift,playmaking_forward,2,0,0,0.0,0.0,0.02894166388787035,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift,primary_creator,1,1,1,1.0,1.0,0.37799398903145653,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift,rim_runner,9,0,0,0.0,0.0,0.12602228542166183,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift,secondary_creator,19,2,2,0.5,0.5,0.1479029204916784,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift,stretch_big,5,1,0,0.0,0.0,0.08142961235682353,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift,two_way_wing,6,0,0,0.0,0.0,0.10798762110898559,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,dominant_big,1,0,0,0.0,0.0,0.1670583422876099,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,offensive_wing,8,0,0,0.0,0.0,0.10629605295325725,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,playmaking_forward,2,0,0,0.0,0.0,0.007636841872400888,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,primary_creator,1,1,1,1.0,1.0,0.5587541885092014,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,rim_runner,9,0,0,0.0,0.0,0.09742792132814203,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,secondary_creator,19,2,2,0.5,0.5,0.12958826709112942,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,stretch_big,5,1,0,0.0,0.0,0.10004914068934276,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot,two_way_wing,6,0,2,0.0,0.0,0.12541324320122152,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,offensive_wing,8,0,1,0.0,0.0,0.10124220785637918,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,playmaking_forward,2,0,0,0.0,0.0,0.0165288376469106,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,primary_creator,1,1,1,1.0,1.0,0.32129551063063666,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,rim_runner,9,0,0,0.0,0.0,0.106305206842559,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,secondary_creator,19,2,2,0.5,0.5,0.16007184502425764,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,stretch_big,5,1,0,0.0,0.0,0.09329771028564864,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_interactions,two_way_wing,6,0,1,0.0,0.0,0.11677062915381632,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,dominant_big,1,0,0,0.0,0.0,0.154524961964093,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,offensive_wing,8,0,1,0.0,0.0,0.10461101193545974,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,playmaking_forward,2,0,0,0.0,0.0,0.010677490231927503,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,primary_creator,1,1,1,1.0,1.0,0.43845750547673173,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,rim_runner,9,0,0,0.0,0.0,0.08881563394479318,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,secondary_creator,19,2,2,0.5,0.5,0.134613217464599,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,stretch_big,5,1,0,0.0,0.0,0.11217936850155899,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_box_shot_usagepct_scores,two_way_wing,6,0,2,0.0,0.0,0.14609717485823095,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,offensive_wing,8,0,0,0.0,0.0,0.09420909604308064,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,playmaking_forward,2,0,0,0.0,0.0,0.030392508673095862,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,primary_creator,1,1,1,1.0,1.0,0.33082303108575073,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,rim_runner,9,0,0,0.0,0.0,0.12256373529482982,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,secondary_creator,19,2,2,0.5,0.5,0.14883943103269096,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,stretch_big,5,1,0,0.0,0.0,0.08467051260308181,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_interactions,two_way_wing,6,0,0,0.0,0.0,0.10863959661637018,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,offensive_wing,8,0,0,0.0,0.0,0.09585936710212367,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,playmaking_forward,2,0,0,0.0,0.0,0.029639054880835833,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,primary_creator,1,1,1,1.0,1.0,0.3608910799840128,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,rim_runner,9,0,0,0.0,0.0,0.12527236571005376,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,secondary_creator,19,2,2,0.5,0.5,0.15003083175004847,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,stretch_big,5,1,0,0.0,0.0,0.08501094287851937,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_full_shot_usagepct_scores,two_way_wing,6,0,0,0.0,0.0,0.10915905771977946,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,dominant_big,1,0,0,0.0,0.0,0.1713626892456129,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,offensive_wing,8,0,1,0.0,0.0,0.1114879521614017,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,playmaking_forward,2,0,0,0.0,0.0,0.008733448745732088,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,primary_creator,1,1,1,1.0,1.0,0.5501252639906623,1.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,rim_runner,9,0,0,0.0,0.0,0.09385701425044371,0.0
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,secondary_creator,19,2,2,0.5,0.5,0.13469858085339337,0.10526315789473684
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,stretch_big,5,1,0,0.0,0.0,0.10747351482624252,0.2
segment_residual_internal_two_stage_failure_cap_combo_lift_no_shot,two_way_wing,6,0,2,0.0,0.0,0.13562524125432163,0.0
segment_residual_random_forest_sigmoid,dominant_big,1,0,0,0.0,0.0,0.15996991472960115,0.0
segment_residual_random_forest_sigmoid,offensive_wing,8,0,0,0.0,0.0,0.08098297689132132,0.0
segment_residual_random_forest_sigmoid,playmaking_forward,2,0,0,0.0,0.0,0.025128793120742426,0.0
segment_residual_random_forest_sigmoid,primary_creator,1,1,1,1.0,1.0,0.4942829254255241,1.0
segment_residual_random_forest_sigmoid,rim_runner,9,0,3,0.0,0.0,0.18080404259575283,0.0
segment_residual_random_forest_sigmoid,secondary_creator,19,2,1,0.0,0.0,0.11460723047405459,0.10526315789473684
segment_residual_random_forest_sigmoid,stretch_big,5,1,0,0.0,0.0,0.07884156386206555,0.2
segment_residual_random_forest_sigmoid,two_way_wing,6,0,1,0.0,0.0,0.10174264396487386,0.0
